   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8554e-07,9.9652e-05
1.0351e-04,6.1929e-07,1.0315e-04
1.0715e-04,6.5500e-07,1.0676e-04
1.1092e-04,6.9276e-07,1.1051e-04
1.1482e-04,7.3269e-07,1.1438e-04
1.1885e-04,7.7493e-07,1.1839e-04
1.2303e-04,8.1961e-07,1.2254e-04
1.2735e-04,8.6685e-07,1.2684e-04
1.3183e-04,9.1683e-07,1.3128e-04
1.3646e-04,9.6968e-07,1.3588e-04
1.4125e-04,1.0256e-06,1.4064e-04
1.4622e-04,1.0847e-06,1.4557e-04
1.5136e-04,1.1472e-06,1.5067e-04
1.5668e-04,1.2134e-06,1.5595e-04
1.6218e-04,1.2833e-06,1.6142e-04
1.6788e-04,1.3573e-06,1.6707e-04
1.7378e-04,1.4355e-06,1.7293e-04
1.7989e-04,1.5183e-06,1.7898e-04
1.8621e-04,1.6058e-06,1.8525e-04
1.9275e-04,1.6983e-06,1.9174e-04
1.9953e-04,1.7962e-06,1.9846e-04
2.0654e-04,1.8998e-06,2.0541e-04
2.1380e-04,2.0093e-06,2.1260e-04
2.2131e-04,2.1251e-06,2.2005e-04
2.2909e-04,2.2476e-06,2.2775e-04
2.3714e-04,2.3771e-06,2.3572e-04
2.4547e-04,2.5141e-06,2.4397e-04
2.5410e-04,2.6590e-06,2.5251e-04
2.6303e-04,2.8122e-06,2.6135e-04
2.7227e-04,2.9743e-06,2.7050e-04
2.8184e-04,3.1457e-06,2.7996e-04
2.9174e-04,3.3270e-06,2.8976e-04
3.0200e-04,3.5187e-06,2.9990e-04
3.1261e-04,3.7215e-06,3.1039e-04
3.2359e-04,3.9359e-06,3.2125e-04
3.3497e-04,4.1627e-06,3.3248e-04
3.4674e-04,4.4025e-06,3.4411e-04
3.5892e-04,4.6562e-06,3.5614e-04
3.7154e-04,4.9244e-06,3.6860e-04
3.8459e-04,5.2081e-06,3.8148e-04
3.9811e-04,5.5081e-06,3.9482e-04
4.1210e-04,5.8254e-06,4.0862e-04
4.2658e-04,6.1610e-06,4.2290e-04
4.4157e-04,6.5158e-06,4.3768e-04
4.5709e-04,6.8911e-06,4.5297e-04
4.7315e-04,7.2880e-06,4.6879e-04
4.8978e-04,7.7077e-06,4.8517e-04
5.0699e-04,8.1516e-06,5.0211e-04
5.2481e-04,8.6210e-06,5.1965e-04
5.4325e-04,9.1173e-06,5.3779e-04
5.6234e-04,9.6423e-06,5.5656e-04
5.8210e-04,1.0197e-05,5.7599e-04
6.0256e-04,1.0784e-05,5.9609e-04
6.2373e-04,1.1405e-05,6.1689e-04
6.4565e-04,1.2062e-05,6.3842e-04
6.6834e-04,1.2756e-05,6.6069e-04
6.9183e-04,1.3490e-05,6.8373e-04
7.1614e-04,1.4266e-05,7.0757e-04
7.4131e-04,1.5087e-05,7.3224e-04
7.6736e-04,1.5955e-05,7.5776e-04
7.9433e-04,1.6873e-05,7.8417e-04
8.2224e-04,1.7843e-05,8.1150e-04
8.5114e-04,1.8870e-05,8.3977e-04
8.8105e-04,1.9955e-05,8.6902e-04
9.1201e-04,2.1102e-05,8.9928e-04
9.4406e-04,2.2316e-05,9.3059e-04
9.7724e-04,2.3599e-05,9.6298e-04
1.0116e-03,2.4955e-05,9.9650e-04
1.0471e-03,2.6390e-05,1.0312e-03
1.0839e-03,2.7906e-05,1.0670e-03
1.1220e-03,2.9510e-05,1.1041e-03
1.1614e-03,3.1205e-05,1.1425e-03
1.2023e-03,3.2998e-05,1.1822e-03
1.2445e-03,3.4893e-05,1.2233e-03
1.2882e-03,3.6897e-05,1.2658e-03
1.3335e-03,3.9015e-05,1.3098e-03
1.3804e-03,4.1255e-05,1.3553e-03
1.4289e-03,4.3623e-05,1.4023e-03
1.4791e-03,4.6126e-05,1.4510e-03
1.5311e-03,4.8773e-05,1.5013e-03
1.5849e-03,5.1571e-05,1.5534e-03
1.6406e-03,5.4529e-05,1.6072e-03
1.6982e-03,5.7656e-05,1.6630e-03
1.7579e-03,6.0961e-05,1.7206e-03
1.8197e-03,6.4456e-05,1.7802e-03
1.8836e-03,6.8149e-05,1.8418e-03
1.9498e-03,7.2054e-05,1.9056e-03
2.0184e-03,7.6181e-05,1.9715e-03
2.0893e-03,8.0544e-05,2.0397e-03
2.1627e-03,8.5155e-05,2.1102e-03
2.2387e-03,9.0029e-05,2.1831e-03
2.3174e-03,9.5181e-05,2.2585e-03
2.3988e-03,1.0063e-04,2.3365e-03
2.4831e-03,1.0638e-04,2.4172e-03
2.5704e-03,1.1246e-04,2.5006e-03
2.6607e-03,1.1889e-04,2.5868e-03
2.7542e-03,1.2568e-04,2.6760e-03
2.8510e-03,1.3286e-04,2.7682e-03
2.9512e-03,1.4045e-04,2.8635e-03
3.0549e-03,1.4847e-04,2.9620e-03
3.1623e-03,1.5694e-04,3.0639e-03
3.2734e-03,1.6589e-04,3.1693e-03
3.3884e-03,1.7535e-04,3.2782e-03
3.5075e-03,1.8534e-04,3.3908e-03
3.6308e-03,1.9590e-04,3.5072e-03
3.7584e-03,2.0706e-04,3.6275e-03
3.8905e-03,2.1885e-04,3.7518e-03
4.0272e-03,2.3130e-04,3.8804e-03
4.1687e-03,2.4445e-04,4.0133e-03
4.3152e-03,2.5835e-04,4.1506e-03
4.4668e-03,2.7303e-04,4.2925e-03
4.6238e-03,2.8854e-04,4.4392e-03
4.7863e-03,3.0492e-04,4.5908e-03
4.9545e-03,3.2221e-04,4.7474e-03
5.1286e-03,3.4048e-04,4.9093e-03
5.3088e-03,3.5978e-04,5.0766e-03
5.4954e-03,3.8016e-04,5.2494e-03
5.6885e-03,4.0168e-04,5.4279e-03
5.8884e-03,4.2440e-04,5.6124e-03
6.0954e-03,4.4839e-04,5.8030e-03
6.3096e-03,4.7372e-04,5.9998e-03
6.5313e-03,5.0047e-04,6.2032e-03
6.7608e-03,5.2871e-04,6.4132e-03
6.9984e-03,5.5851e-04,6.6302e-03
7.2444e-03,5.8998e-04,6.8542e-03
7.4989e-03,6.2319e-04,7.0856e-03
7.7625e-03,6.5825e-04,7.3246e-03
8.0353e-03,6.9524e-04,7.5713e-03
8.3176e-03,7.3429e-04,7.8260e-03
8.6099e-03,7.7549e-04,8.0891e-03
8.9125e-03,8.1896e-04,8.3606e-03
9.2257e-03,8.6483e-04,8.6409e-03
9.5499e-03,9.1322e-04,8.9302e-03
9.8855e-03,9.6428e-04,9.2288e-03
1.0233e-02,1.0181e-03,9.5370e-03
1.0593e-02,1.0749e-03,9.8550e-03
1.0965e-02,1.1348e-03,1.0183e-02
1.1350e-02,1.1980e-03,1.0522e-02
1.1749e-02,1.2646e-03,1.0871e-02
1.2162e-02,1.3349e-03,1.1231e-02
1.2589e-02,1.4089e-03,1.1603e-02
1.3032e-02,1.4870e-03,1.1986e-02
1.3490e-02,1.5692e-03,1.2382e-02
1.3964e-02,1.6560e-03,1.2789e-02
1.4454e-02,1.7474e-03,1.3210e-02
1.4962e-02,1.8436e-03,1.3643e-02
