tau_i,alpha_i,G_0,G_i
3.5051147976405025e-08,0.000421603693491957,0.99975,0.000421498292568584
7.387318066536767e-11,0.004368326382409666,0.99975,0.004367234300814064
3.428889304796715e-09,0.02334202682368462,0.99975,0.0233361913169787
1.9420449951536443e-07,0.06474056161886674,0.99975,0.06472437647846202
7.422367622960475e-06,0.10668288674221002,0.99975,0.10665621602052447
0.00034289296855446116,0.16938280584123214,0.99975,0.16934046013977183
0.01591549532349461,0.3652088138376212,0.99975,0.36511751163416184
0.7387318066533516,0.26585297506048367,0.99975,0.26578651181671853
34.28889304872298,0.0,0.99975,0.0
1591.5494309189535,0.0,0.99975,0.0
