tau_i,alpha_i,G_0,G_i
4.46737710096326e-08,0.0007890348607274761,0.9995,0.0007886403432971125
7.387318066493239e-11,0.007507666274134292,0.9995,0.0075039124409972255
3.428889304776076e-09,0.031941519967615926,0.9995,0.03192554920763212
2.0382712254762973e-07,0.07480797699512465,0.9995,0.0747705730066271
7.431990245949038e-06,0.11134385617867615,0.9995,0.11128818425058681
0.0003428929385600734,0.16417605900410479,0.9995,0.16409397097460274
0.015915495509807035,0.34686037413308457,0.9995,0.34668694394601807
0.7387318066488852,0.262573512586532,0.9995,0.26244222583023874
34.28889304872298,0.0,0.9995,0.0
1591.5494309189535,0.0,0.9995,0.0
