tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0029419751161860732,0.99313,0.002921763747137875
1.876068549465705e-11,0.012922423221104349,0.99313,0.012833646173575361
2.2114507627903595e-10,0.022163108569318524,0.99313,0.022010848013447305
2.606788796563387e-09,0.035054514915475,0.99313,0.034813690398005685
3.072800870919809e-08,0.04747907339852979,0.99313,0.04715289216428189
3.6221212876066545e-07,0.057275514987268995,0.99313,0.05688203219930645
4.300017143285818e-06,0.06554138442244872,0.99313,0.0650911151114665
5.032983598612795e-05,0.07747306512028226,0.99313,0.07694082516290592
0.0005932688056762079,0.10905902422602098,0.99313,0.10830978872958821
0.006993221343721832,0.15399721733452684,0.99313,0.15293925645143863
0.08243390023277662,0.2667910444598785,0.99313,0.26495818998443915
0.9717049550269504,0.1493016542289599,0.99313,0.14827595186440695
11.454153233055079,0.0,0.99313,0.0
135.01796569244883,0.0,0.99313,0.0
1591.5494309189535,0.0,0.99313,0.0
