   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8893e-07,9.9652e-05
1.0351e-04,6.2293e-07,1.0315e-04
1.0715e-04,6.5889e-07,1.0676e-04
1.1092e-04,6.9692e-07,1.1051e-04
1.1482e-04,7.3716e-07,1.1438e-04
1.1885e-04,7.7971e-07,1.1839e-04
1.2303e-04,8.2473e-07,1.2254e-04
1.2735e-04,8.7234e-07,1.2684e-04
1.3183e-04,9.2271e-07,1.3128e-04
1.3646e-04,9.7598e-07,1.3588e-04
1.4125e-04,1.0323e-06,1.4064e-04
1.4622e-04,1.0919e-06,1.4557e-04
1.5136e-04,1.1550e-06,1.5067e-04
1.5668e-04,1.2217e-06,1.5595e-04
1.6218e-04,1.2922e-06,1.6142e-04
1.6788e-04,1.3668e-06,1.6707e-04
1.7378e-04,1.4457e-06,1.7293e-04
1.7989e-04,1.5292e-06,1.7898e-04
1.8621e-04,1.6175e-06,1.8525e-04
1.9275e-04,1.7109e-06,1.9174e-04
1.9953e-04,1.8097e-06,1.9846e-04
2.0654e-04,1.9142e-06,2.0541e-04
2.1380e-04,2.0247e-06,2.1260e-04
2.2131e-04,2.1416e-06,2.2004e-04
2.2909e-04,2.2653e-06,2.2775e-04
2.3714e-04,2.3961e-06,2.3572e-04
2.4547e-04,2.5344e-06,2.4397e-04
2.5410e-04,2.6807e-06,2.5251e-04
2.6303e-04,2.8355e-06,2.6135e-04
2.7227e-04,2.9993e-06,2.7050e-04
2.8184e-04,3.1724e-06,2.7996e-04
2.9174e-04,3.3556e-06,2.8976e-04
3.0200e-04,3.5494e-06,2.9990e-04
3.1261e-04,3.7543e-06,3.1039e-04
3.2359e-04,3.9711e-06,3.2125e-04
3.3497e-04,4.2004e-06,3.3248e-04
3.4674e-04,4.4429e-06,3.4411e-04
3.5892e-04,4.6994e-06,3.5614e-04
3.7154e-04,4.9707e-06,3.6860e-04
3.8459e-04,5.2577e-06,3.8148e-04
3.9811e-04,5.5613e-06,3.9482e-04
4.1210e-04,5.8823e-06,4.0862e-04
4.2658e-04,6.2219e-06,4.2290e-04
4.4157e-04,6.5811e-06,4.3767e-04
4.5709e-04,6.9610e-06,4.5297e-04
4.7315e-04,7.3629e-06,4.6879e-04
4.8978e-04,7.7879e-06,4.8517e-04
5.0699e-04,8.2375e-06,5.0211e-04
5.2481e-04,8.7130e-06,5.1964e-04
5.4325e-04,9.2159e-06,5.3779e-04
5.6234e-04,9.7478e-06,5.5656e-04
5.8210e-04,1.0310e-05,5.7599e-04
6.0256e-04,1.0905e-05,5.9609e-04
6.2373e-04,1.1535e-05,6.1689e-04
6.4565e-04,1.2200e-05,6.3841e-04
6.6834e-04,1.2905e-05,6.6068e-04
6.9183e-04,1.3649e-05,6.8372e-04
7.1614e-04,1.4437e-05,7.0756e-04
7.4131e-04,1.5270e-05,7.3223e-04
7.6736e-04,1.6151e-05,7.5775e-04
7.9433e-04,1.7082e-05,7.8416e-04
8.2224e-04,1.8068e-05,8.1149e-04
8.5114e-04,1.9110e-05,8.3976e-04
8.8105e-04,2.0212e-05,8.6901e-04
9.1201e-04,2.1378e-05,8.9927e-04
9.4406e-04,2.2610e-05,9.3057e-04
9.7724e-04,2.3914e-05,9.6297e-04
1.0116e-03,2.5293e-05,9.9648e-04
1.0471e-03,2.6751e-05,1.0311e-03
1.0839e-03,2.8293e-05,1.0670e-03
1.1220e-03,2.9924e-05,1.1041e-03
1.1614e-03,3.1649e-05,1.1425e-03
1.2023e-03,3.3473e-05,1.1822e-03
1.2445e-03,3.5402e-05,1.2233e-03
1.2882e-03,3.7441e-05,1.2658e-03
1.3335e-03,3.9598e-05,1.3098e-03
1.3804e-03,4.1879e-05,1.3552e-03
1.4289e-03,4.4291e-05,1.4023e-03
1.4791e-03,4.6842e-05,1.4509e-03
1.5311e-03,4.9539e-05,1.5013e-03
1.5849e-03,5.2391e-05,1.5533e-03
1.6406e-03,5.5406e-05,1.6072e-03
1.6982e-03,5.8595e-05,1.6629e-03
1.7579e-03,6.1967e-05,1.7205e-03
1.8197e-03,6.5532e-05,1.7801e-03
1.8836e-03,6.9301e-05,1.8417e-03
1.9498e-03,7.3287e-05,1.9055e-03
2.0184e-03,7.7501e-05,1.9714e-03
2.0893e-03,8.1956e-05,2.0396e-03
2.1627e-03,8.6666e-05,2.1101e-03
2.2387e-03,9.1646e-05,2.1830e-03
2.3174e-03,9.6911e-05,2.2584e-03
2.3988e-03,1.0248e-04,2.3364e-03
2.4831e-03,1.0836e-04,2.4170e-03
2.5704e-03,1.1458e-04,2.5004e-03
2.6607e-03,1.2116e-04,2.5866e-03
2.7542e-03,1.2811e-04,2.6757e-03
2.8510e-03,1.3546e-04,2.7679e-03
2.9512e-03,1.4323e-04,2.8632e-03
3.0549e-03,1.5144e-04,2.9617e-03
3.1623e-03,1.6012e-04,3.0636e-03
3.2734e-03,1.6929e-04,3.1689e-03
3.3884e-03,1.7899e-04,3.2778e-03
3.5075e-03,1.8923e-04,3.3903e-03
3.6308e-03,2.0006e-04,3.5067e-03
3.7584e-03,2.1151e-04,3.6269e-03
3.8905e-03,2.2360e-04,3.7513e-03
4.0272e-03,2.3639e-04,3.8798e-03
4.1687e-03,2.4990e-04,4.0126e-03
4.3152e-03,2.6417e-04,4.1498e-03
4.4668e-03,2.7925e-04,4.2917e-03
4.6238e-03,2.9519e-04,4.4383e-03
4.7863e-03,3.1203e-04,4.5898e-03
4.9545e-03,3.2982e-04,4.7463e-03
5.1286e-03,3.4861e-04,4.9081e-03
5.3088e-03,3.6847e-04,5.0753e-03
5.4954e-03,3.8944e-04,5.2479e-03
5.6885e-03,4.1160e-04,5.4264e-03
5.8884e-03,4.3500e-04,5.6107e-03
6.0954e-03,4.5972e-04,5.8011e-03
6.3096e-03,4.8583e-04,5.9978e-03
6.5313e-03,5.1341e-04,6.2010e-03
6.7608e-03,5.4253e-04,6.4108e-03
6.9984e-03,5.7328e-04,6.6275e-03
7.2444e-03,6.0575e-04,6.8513e-03
7.4989e-03,6.4004e-04,7.0825e-03
7.7625e-03,6.7624e-04,7.3211e-03
8.0353e-03,7.1445e-04,7.5675e-03
8.3176e-03,7.5480e-04,7.8220e-03
8.6099e-03,7.9739e-04,8.0846e-03
8.9125e-03,8.4234e-04,8.3557e-03
9.2257e-03,8.8979e-04,8.6356e-03
9.5499e-03,9.3986e-04,8.9244e-03
9.8855e-03,9.9270e-04,9.2225e-03
1.0233e-02,1.0485e-03,9.5301e-03
1.0593e-02,1.1073e-03,9.8475e-03
1.0965e-02,1.1694e-03,1.0175e-02
1.1350e-02,1.2348e-03,1.0513e-02
1.1749e-02,1.3039e-03,1.0861e-02
1.2162e-02,1.3768e-03,1.1221e-02
1.2589e-02,1.4536e-03,1.1591e-02
1.3032e-02,1.5346e-03,1.1974e-02
1.3490e-02,1.6200e-03,1.2368e-02
1.3964e-02,1.7101e-03,1.2774e-02
1.4454e-02,1.8050e-03,1.3193e-02
1.4962e-02,1.9051e-03,1.3625e-02
1.5488e-02,2.0105e-03,1.4070e-02
1.6032e-02,2.1217e-03,1.4529e-02
1.6596e-02,2.2388e-03,1.5001e-02
1.7179e-02,2.3621e-03,1.5488e-02
1.7783e-02,2.4921e-03,1.5989e-02
1.8408e-02,2.6290e-03,1.6505e-02
1.9055e-02,2.7731e-03,1.7037e-02
1.9724e-02,2.9249e-03,1.7584e-02
2.0417e-02,3.0846e-03,1.8147e-02
2.1135e-02,3.2528e-03,1.8727e-02
2.1878e-02,3.4298e-03,1.9324e-02
2.2646e-02,3.6161e-03,1.9937e-02
2.3442e-02,3.8120e-03,2.0569e-02
2.4266e-02,4.0181e-03,2.1218e-02
2.5119e-02,4.2348e-03,2.1885e-02
2.6002e-02,4.4628e-03,2.2571e-02
2.6915e-02,4.7024e-03,2.3277e-02
2.7861e-02,4.9542e-03,2.4001e-02
2.8840e-02,5.2188e-03,2.4745e-02
2.9854e-02,5.4968e-03,2.5510e-02
3.0903e-02,5.7889e-03,2.6295e-02
3.1989e-02,6.0956e-03,2.7100e-02
3.3113e-02,6.4176e-03,2.7927e-02
3.4277e-02,6.7555e-03,2.8776e-02
3.5481e-02,7.1102e-03,2.9646e-02
3.6728e-02,7.4823e-03,3.0538e-02
3.8019e-02,7.8725e-03,3.1452e-02
3.9355e-02,8.2817e-03,3.2389e-02
