tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0007340243277088983,0.99814,0.0007326590424593598
9.801527606122973e-12,0.0036269777155463886,0.99814,0.0036202315369954726
6.036253132702829e-11,0.0066529647482937776,0.99814,0.0066405902338619515
3.717415682392501e-10,0.012243911186765679,0.99814,0.012221137511958295
2.2893637966977966e-09,0.019790647244399915,0.99814,0.01975383664052533
1.4099005985664195e-08,0.028892739996645975,0.99814,0.028838999500252215
8.682847613971237e-08,0.03775846376516175,0.99814,0.037688233022558554
5.347316170012181e-07,0.045159683507459074,0.99814,0.0450756864961352
3.2931350973053554e-06,0.050769573856834026,0.99814,0.050675142449460316
2.0280713584741395e-05,0.05643387547321347,0.99814,0.056328908464833294
0.0001251788229713083,0.06654299707108216,0.99814,0.06641922709652995
0.0007691846347389811,0.08434350630301951,0.99814,0.0841866273812959
0.004737076239161016,0.11663852373155525,0.99814,0.11642157607741456
0.029172790190365047,0.15192066250686653,0.99814,0.15163809007460377
0.1796601485373629,0.22255556969528928,0.99814,0.22214161633565604
1.1064336968346282,0.0952448238666581,0.99814,0.09506766849426612
6.813952142756727,0.0,0.99814,0.0
41.963602374062425,0.00034827171482667993,0.99814,0.0003476239294371023
258.4320945195246,0.00026264759813726744,0.99814,0.00026215907360473215
1591.5494309189535,0.0,0.99814,0.0
