tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0005462388173303196,0.99895,0.0005456652665721227
9.801527617508917e-12,0.002400309833968087,0.99895,0.0023977895086424207
6.036253140853438e-11,0.005023934527713852,0.99895,0.005018659396459752
3.7174156875258973e-10,0.00999151818538454,0.99895,0.009981027091289887
2.289363799870575e-09,0.017454075966596056,0.99895,0.01743574918683113
1.4099006005215084e-08,0.02711205128949758,0.99895,0.02708358363564361
8.682847626012756e-08,0.037127714043669616,0.99895,0.03708872994392376
5.347316177428042e-07,0.04572174814956348,0.99895,0.045673740314006436
3.293135101872409e-06,0.051961350312264155,0.99895,0.051906790894436276
2.0280713612867524e-05,0.05764061475475679,0.99895,0.0575800921092643
0.0001251511249275021,0.06747837654254914,0.99895,0.06740752424717947
0.0007691846358057181,0.08523406113248125,0.99895,0.08514456536829214
0.004737075514637448,0.11799629447547219,0.99895,0.11787239836627295
0.029172790230823073,0.15438490120203718,0.99895,0.15422279705577505
0.17966014817675954,0.22441335260441964,0.99895,0.224177718584185
1.1064336968890696,0.09480943401723635,0.99895,0.09470988411151825
6.813952142756727,0.0,0.99895,0.0
41.963602374062425,0.000356350950480208,0.99895,0.0003559767819822038
258.4320945195246,0.000261652404346092,0.99895,0.0002613776693215286
1591.5494309189535,0.0,0.99895,0.0
