tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0016937367321545893,0.99313,0.0016821007608046872
9.8015275138989e-12,0.008622014746175792,0.99313,0.008562781504869565
6.036253066684393e-11,0.011823613945574515,0.99313,0.011742385717768417
3.717415640812924e-10,0.018532458068921915,0.99313,0.01840514008198842
2.289363770998864e-09,0.02522513318127585,0.99313,0.025051836516320484
1.4099005827305558e-08,0.03233973206068377,0.99313,0.032117558101426864
8.682847516437131e-08,0.038338660830917436,0.99313,0.03807527423100903
5.347316109945053e-07,0.04326198723166578,0.99313,0.042964777379384235
3.293135060313034e-06,0.04757612335611275,0.99313,0.04724927538865625
2.0280713356924755e-05,0.05316577394927502,0.99313,0.0528005250822435
0.0001252152465225189,0.06378518050447213,0.99313,0.0633469763144064
0.0007691846260986011,0.08153555217744489,0.99313,0.08097540293398583
0.004737084999942867,0.11293084853271813,0.99313,0.11215501360329835
0.0291727898626622,0.14578608274516466,0.99313,0.14478453235670538
0.17966015064689095,0.2180430668448036,0.99313,0.2165451109755798
1.1064336965434498,0.09668425913631823,0.99313,0.09602003827605173
6.813952142756727,0.0,0.99313,0.0
41.963602374062425,0.0003108957523134291,0.99313,0.00030875989849503584
258.4320945195246,0.0002624205247349181,0.99313,0.0002606176957299892
1591.5494309189535,0.0,0.99313,0.0
