tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0004664020616281004,0.9995,0.00046616886059728635
1.8760685496304063e-11,0.002456589527606245,0.9995,0.002455361232842442
2.2114507630009746e-10,0.007504167183105787,0.9995,0.007500415099514235
2.6067887968133006e-09,0.018553948254897788,0.9995,0.01854467128077034
3.072800871214564e-08,0.0358683861094772,0.9995,0.035850451916422464
3.622121287954163e-07,0.05442034040911002,0.9995,0.05439313023890547
4.295728429343682e-06,0.06901342138985636,0.9995,0.06897891467916144
5.0329587014616656e-05,0.08329720330985481,0.9995,0.08325555470819988
0.0005932676016843454,0.11817588718437487,0.9995,0.1181167992407827
0.00699322134439277,0.17299174034738796,0.9995,0.17290524447721428
0.08243390006813676,0.28944309132146945,0.9995,0.28929836977580875
0.9717049550419916,0.14780882290123148,0.9995,0.14773491848978088
11.454153233055079,0.0,0.9995,0.0
135.01796569244883,0.0,0.9995,0.0
1591.5494309189535,0.0,0.9995,0.0
