   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.6429e-06,6.2824e-04
1.1885e-04,2.3092e-06,7.4665e-04
1.4125e-04,3.2457e-06,8.8737e-04
1.6788e-04,4.5619e-06,1.0546e-03
1.9953e-04,6.4119e-06,1.2533e-03
2.3714e-04,9.0121e-06,1.4895e-03
2.8184e-04,1.2667e-05,1.7702e-03
3.3497e-04,1.7803e-05,2.1037e-03
3.9811e-04,2.5021e-05,2.5000e-03
4.7315e-04,3.5165e-05,2.9709e-03
5.6234e-04,4.9419e-05,3.5304e-03
6.6834e-04,6.9449e-05,4.1951e-03
7.9433e-04,9.7590e-05,4.9847e-03
9.4406e-04,1.3712e-04,5.9225e-03
1.1220e-03,1.9265e-04,7.0361e-03
1.3335e-03,2.7062e-04,8.3581e-03
1.5849e-03,3.8008e-04,9.9270e-03
1.8836e-03,5.3368e-04,1.1788e-02
2.2387e-03,7.4910e-04,1.3993e-02
2.6607e-03,1.0510e-03,1.6605e-02
3.1623e-03,1.4737e-03,1.9694e-02
3.7584e-03,2.0648e-03,2.3341e-02
4.4668e-03,2.8899e-03,2.7637e-02
5.3088e-03,4.0388e-03,3.2679e-02
6.3096e-03,5.6334e-03,3.8572e-02
7.4989e-03,7.8371e-03,4.5415e-02
8.9125e-03,1.0864e-02,5.3294e-02
1.0593e-02,1.4990e-02,6.2259e-02
1.2589e-02,2.0552e-02,7.2297e-02
1.4962e-02,2.7947e-02,8.3287e-02
1.7783e-02,3.7596e-02,9.4963e-02
2.1135e-02,4.9895e-02,1.0686e-01
2.5119e-02,6.5111e-02,1.1830e-01
2.9854e-02,8.3270e-02,1.2844e-01
3.5481e-02,1.0405e-01,1.3633e-01
4.2170e-02,1.2672e-01,1.4117e-01
5.0119e-02,1.5024e-01,1.4246e-01
5.9566e-02,1.7343e-01,1.4012e-01
7.0795e-02,1.9520e-01,1.3456e-01
8.4140e-02,2.1476e-01,1.2652e-01
1.0000e-01,2.3169e-01,1.1686e-01
1.1885e-01,2.4592e-01,1.0642e-01
1.4125e-01,2.5762e-01,9.5875e-02
1.6788e-01,2.6713e-01,8.5732e-02
1.9953e-01,2.7482e-01,7.6295e-02
2.3714e-01,2.8103e-01,6.7728e-02
2.8184e-01,2.8608e-01,6.0088e-02
3.3497e-01,2.9025e-01,5.3362e-02
3.9811e-01,2.9374e-01,4.7498e-02
4.7315e-01,2.9672e-01,4.2421e-02
5.6234e-01,2.9932e-01,3.8049e-02
6.6834e-01,3.0163e-01,3.4299e-02
7.9433e-01,3.0372e-01,3.1091e-02
9.4406e-01,3.0565e-01,2.8354e-02
1.1220e+00,3.0746e-01,2.6023e-02
1.3335e+00,3.0918e-01,2.4040e-02
1.5849e+00,3.1083e-01,2.2356e-02
1.8836e+00,3.1243e-01,2.0927e-02
2.2387e+00,3.1399e-01,1.9717e-02
2.6607e+00,3.1552e-01,1.8692e-02
3.1623e+00,3.1703e-01,1.7825e-02
3.7584e+00,3.1852e-01,1.7093e-02
4.4668e+00,3.2000e-01,1.6475e-02
5.3088e+00,3.2147e-01,1.5954e-02
6.3096e+00,3.2293e-01,1.5517e-02
7.4989e+00,3.2439e-01,1.5149e-02
8.9125e+00,3.2584e-01,1.4842e-02
1.0593e+01,3.2730e-01,1.4585e-02
1.2589e+01,3.2875e-01,1.4370e-02
1.4962e+01,3.3020e-01,1.4193e-02
1.7783e+01,3.3165e-01,1.4046e-02
2.1135e+01,3.3310e-01,1.3926e-02
2.5119e+01,3.3455e-01,1.3828e-02
2.9854e+01,3.3600e-01,1.3749e-02
3.5481e+01,3.3746e-01,1.3686e-02
4.2170e+01,3.3892e-01,1.3636e-02
5.0119e+01,3.4038e-01,1.3598e-02
5.9566e+01,3.4184e-01,1.3570e-02
7.0795e+01,3.4330e-01,1.3550e-02
8.4140e+01,3.4477e-01,1.3537e-02
1.0000e+02,3.4623e-01,1.3529e-02
1.1885e+02,3.4771e-01,1.3527e-02
1.4125e+02,3.4918e-01,1.3529e-02
1.6788e+02,3.5065e-01,1.3534e-02
1.9953e+02,3.5213e-01,1.3542e-02
2.3714e+02,3.5361e-01,1.3553e-02
2.8184e+02,3.5510e-01,1.3565e-02
3.3497e+02,3.5658e-01,1.3580e-02
3.9811e+02,3.5807e-01,1.3596e-02
4.7315e+02,3.5957e-01,1.3613e-02
5.6234e+02,3.6106e-01,1.3631e-02
6.6834e+02,3.6256e-01,1.3650e-02
7.9433e+02,3.6406e-01,1.3669e-02
9.4406e+02,3.6556e-01,1.3689e-02
1.1220e+03,3.6706e-01,1.3709e-02
1.3335e+03,3.6857e-01,1.3730e-02
