   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.5485e-06,6.2818e-04
1.1885e-04,2.1669e-06,7.4657e-04
1.4125e-04,3.0322e-06,8.8726e-04
1.6788e-04,4.2432e-06,1.0544e-03
1.9953e-04,5.9379e-06,1.2531e-03
2.3714e-04,8.3095e-06,1.4892e-03
2.8184e-04,1.1628e-05,1.7698e-03
3.3497e-04,1.6273e-05,2.1032e-03
3.9811e-04,2.2772e-05,2.4993e-03
4.7315e-04,3.1867e-05,2.9699e-03
5.6234e-04,4.4592e-05,3.5291e-03
6.6834e-04,6.2397e-05,4.1933e-03
7.9433e-04,8.7306e-05,4.9822e-03
9.4406e-04,1.2215e-04,5.9192e-03
1.1220e-03,1.7088e-04,7.0318e-03
1.3335e-03,2.3903e-04,8.3525e-03
1.5849e-03,3.3428e-04,9.9198e-03
1.8836e-03,4.6740e-04,1.1779e-02
2.2387e-03,6.5332e-04,1.3983e-02
2.6607e-03,9.1285e-04,1.6594e-02
3.1623e-03,1.2748e-03,1.9684e-02
3.7584e-03,1.7791e-03,2.3336e-02
4.4668e-03,2.4807e-03,2.7645e-02
5.3088e-03,3.4548e-03,3.2715e-02
6.3096e-03,4.8041e-03,3.8662e-02
7.4989e-03,6.6666e-03,4.5606e-02
8.9125e-03,9.2262e-03,5.3666e-02
1.0593e-02,1.2723e-02,6.2943e-02
1.2589e-02,1.7463e-02,7.3505e-02
1.4962e-02,2.3822e-02,8.5351e-02
1.7783e-02,3.2239e-02,9.8371e-02
2.1135e-02,4.3190e-02,1.1230e-01
2.5119e-02,5.7131e-02,1.2667e-01
2.9854e-02,7.4402e-02,1.4078e-01
3.5481e-02,9.5113e-02,1.5374e-01
4.2170e-02,1.1902e-01,1.6452e-01
5.0119e-02,1.4548e-01,1.7219e-01
5.9566e-02,1.7345e-01,1.7604e-01
7.0795e-02,2.0169e-01,1.7584e-01
8.4140e-02,2.2895e-01,1.7179e-01
1.0000e-01,2.5423e-01,1.6455e-01
1.1885e-01,2.7688e-01,1.5498e-01
1.4125e-01,2.9663e-01,1.4400e-01
1.6788e-01,3.1352e-01,1.3242e-01
1.9953e-01,3.2778e-01,1.2089e-01
2.3714e-01,3.3978e-01,1.0986e-01
2.8184e-01,3.4988e-01,9.9613e-02
3.3497e-01,3.5844e-01,9.0290e-02
3.9811e-01,3.6579e-01,8.1942e-02
4.7315e-01,3.7218e-01,7.4552e-02
5.6234e-01,3.7782e-01,6.8070e-02
6.6834e-01,3.8289e-01,6.2420e-02
7.9433e-01,3.8752e-01,5.7521e-02
9.4406e-01,3.9181e-01,5.3290e-02
1.1220e+00,3.9584e-01,4.9647e-02
1.3335e+00,3.9966e-01,4.6518e-02
1.5849e+00,4.0334e-01,4.3835e-02
1.8836e+00,4.0689e-01,4.1540e-02
2.2387e+00,4.1034e-01,3.9578e-02
2.6607e+00,4.1373e-01,3.7904e-02
3.1623e+00,4.1706e-01,3.6477e-02
3.7584e+00,4.2035e-01,3.5261e-02
4.4668e+00,4.2360e-01,3.4228e-02
5.3088e+00,4.2682e-01,3.3350e-02
6.3096e+00,4.3003e-01,3.2604e-02
7.4989e+00,4.3321e-01,3.1972e-02
8.9125e+00,4.3639e-01,3.1437e-02
1.0593e+01,4.3956e-01,3.0984e-02
1.2589e+01,4.4271e-01,3.0602e-02
1.4962e+01,4.4587e-01,3.0279e-02
