   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.9897e-01
1.1885e-12,9.9888e-01
1.4125e-12,9.9878e-01
1.6788e-12,9.9868e-01
1.9953e-12,9.9856e-01
2.3714e-12,9.9843e-01
2.8184e-12,9.9830e-01
3.3497e-12,9.9816e-01
3.9811e-12,9.9800e-01
4.7315e-12,9.9783e-01
5.6234e-12,9.9765e-01
6.6834e-12,9.9746e-01
7.9433e-12,9.9725e-01
9.4406e-12,9.9703e-01
1.1220e-11,9.9679e-01
1.3335e-11,9.9653e-01
1.5849e-11,9.9626e-01
1.8836e-11,9.9597e-01
2.2387e-11,9.9566e-01
2.6607e-11,9.9533e-01
3.1623e-11,9.9497e-01
3.7584e-11,9.9459e-01
4.4668e-11,9.9419e-01
5.3088e-11,9.9376e-01
6.3096e-11,9.9331e-01
7.4989e-11,9.9283e-01
8.9125e-11,9.9231e-01
1.0593e-10,9.9177e-01
1.2589e-10,9.9120e-01
1.4962e-10,9.9059e-01
1.7783e-10,9.8994e-01
2.1135e-10,9.8926e-01
2.5119e-10,9.8854e-01
2.9854e-10,9.8778e-01
3.5481e-10,9.8698e-01
4.2170e-10,9.8614e-01
5.0119e-10,9.8525e-01
5.9566e-10,9.8432e-01
7.0795e-10,9.8334e-01
8.4140e-10,9.8231e-01
1.0000e-09,9.8123e-01
1.1885e-09,9.8010e-01
1.4125e-09,9.7891e-01
1.6788e-09,9.7767e-01
1.9953e-09,9.7637e-01
2.3714e-09,9.7501e-01
2.8184e-09,9.7360e-01
3.3497e-09,9.7212e-01
3.9811e-09,9.7058e-01
4.7315e-09,9.6898e-01
5.6234e-09,9.6731e-01
6.6834e-09,9.6558e-01
7.9433e-09,9.6378e-01
9.4406e-09,9.6191e-01
1.1220e-08,9.5997e-01
1.3335e-08,9.5796e-01
1.5849e-08,9.5588e-01
1.8836e-08,9.5374e-01
2.2387e-08,9.5152e-01
2.6607e-08,9.4922e-01
3.1623e-08,9.4686e-01
3.7584e-08,9.4442e-01
4.4668e-08,9.4191e-01
5.3088e-08,9.3932e-01
6.3096e-08,9.3666e-01
7.4989e-08,9.3393e-01
8.9125e-08,9.3113e-01
1.0593e-07,9.2825e-01
1.2589e-07,9.2531e-01
1.4962e-07,9.2229e-01
1.7783e-07,9.1920e-01
2.1135e-07,9.1604e-01
2.5119e-07,9.1281e-01
2.9854e-07,9.0951e-01
3.5481e-07,9.0615e-01
4.2170e-07,9.0272e-01
5.0119e-07,8.9923e-01
5.9566e-07,8.9567e-01
7.0795e-07,8.9205e-01
8.4140e-07,8.8837e-01
1.0000e-06,8.8463e-01
1.1885e-06,8.8083e-01
1.4125e-06,8.7697e-01
1.6788e-06,8.7305e-01
1.9953e-06,8.6909e-01
2.3714e-06,8.6506e-01
2.8184e-06,8.6099e-01
3.3497e-06,8.5687e-01
3.9811e-06,8.5269e-01
4.7315e-06,8.4847e-01
5.6234e-06,8.4419e-01
6.6834e-06,8.3987e-01
7.9433e-06,8.3551e-01
9.4406e-06,8.3109e-01
1.1220e-05,8.2663e-01
1.3335e-05,8.2213e-01
1.5849e-05,8.1758e-01
1.8836e-05,8.1298e-01
2.2387e-05,8.0834e-01
2.6607e-05,8.0365e-01
3.1623e-05,7.9892e-01
3.7584e-05,7.9413e-01
4.4668e-05,7.8930e-01
