   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.1541e-05,6.2139e-04
1.1885e-04,1.5267e-05,7.3758e-04
1.4125e-04,2.0193e-05,8.7535e-04
1.6788e-04,2.6704e-05,1.0387e-03
1.9953e-04,3.5308e-05,1.2322e-03
2.3714e-04,4.6675e-05,1.4615e-03
2.8184e-04,6.1686e-05,1.7330e-03
3.3497e-04,8.1500e-05,2.0544e-03
3.9811e-04,1.0764e-04,2.4346e-03
4.7315e-04,1.4211e-04,2.8841e-03
5.6234e-04,1.8753e-04,3.4151e-03
6.6834e-04,2.4734e-04,4.0420e-03
7.9433e-04,3.2600e-04,4.7813e-03
9.4406e-04,4.2938e-04,5.6523e-03
1.1220e-03,5.6504e-04,6.6771e-03
1.3335e-03,7.4284e-04,7.8811e-03
1.5849e-03,9.7545e-04,9.2933e-03
1.8836e-03,1.2792e-03,1.0947e-02
2.2387e-03,1.6749e-03,1.2877e-02
2.6607e-03,2.1892e-03,1.5126e-02
3.1623e-03,2.8554e-03,1.7738e-02
3.7584e-03,3.7154e-03,2.0759e-02
4.4668e-03,4.8212e-03,2.4239e-02
5.3088e-03,6.2363e-03,2.8229e-02
6.3096e-03,8.0373e-03,3.2775e-02
7.4989e-03,1.0316e-02,3.7920e-02
8.9125e-03,1.3177e-02,4.3700e-02
1.0593e-02,1.6742e-02,5.0132e-02
1.2589e-02,2.1143e-02,5.7217e-02
1.4962e-02,2.6523e-02,6.4932e-02
1.7783e-02,3.3025e-02,7.3219e-02
2.1135e-02,4.0786e-02,8.1992e-02
2.5119e-02,4.9930e-02,9.1126e-02
2.9854e-02,6.0550e-02,1.0047e-01
3.5481e-02,7.2704e-02,1.0983e-01
4.2170e-02,8.6403e-02,1.1902e-01
5.0119e-02,1.0161e-01,1.2783e-01
5.9566e-02,1.1823e-01,1.3608e-01
7.0795e-02,1.3614e-01,1.4359e-01
8.4140e-02,1.5515e-01,1.5025e-01
1.0000e-01,1.7509e-01,1.5596e-01
1.1885e-01,1.9576e-01,1.6068e-01
1.4125e-01,2.1694e-01,1.6440e-01
1.6788e-01,2.3847e-01,1.6716e-01
1.9953e-01,2.6019e-01,1.6901e-01
2.3714e-01,2.8194e-01,1.7003e-01
2.8184e-01,3.0361e-01,1.7029e-01
3.3497e-01,3.2513e-01,1.6990e-01
3.9811e-01,3.4640e-01,1.6893e-01
4.7315e-01,3.6738e-01,1.6746e-01
5.6234e-01,3.8803e-01,1.6558e-01
6.6834e-01,4.0831e-01,1.6334e-01
7.9433e-01,4.2820e-01,1.6080e-01
9.4406e-01,4.4770e-01,1.5801e-01
1.1220e+00,4.6677e-01,1.5501e-01
1.3335e+00,4.8542e-01,1.5184e-01
