3.000000000000000000e+00 9.999500000000000055e-01 2.143119546714400414e+00
4.000000000000000000e+00 9.999500000000000055e-01 7.966535675143050499e-01
5.000000000000000000e+00 9.999500000000000055e-01 2.990243450748604204e-01
6.000000000000000000e+00 9.999500000000000055e-01 1.178014462509800742e-01
7.000000000000000000e+00 9.999500000000000055e-01 5.546157528008627963e-02
8.000000000000000000e+00 9.999500000000000055e-01 2.943220698356785459e-02
9.000000000000000000e+00 9.999500000000000055e-01 1.737942752575395017e-02
1.000000000000000000e+01 9.999500000000000055e-01 1.042740311657899474e-02
1.100000000000000000e+01 9.999500000000000055e-01 5.978177087546486870e-03
1.200000000000000000e+01 9.999500000000000055e-01 3.209759384403272631e-03
1.300000000000000000e+01 9.999500000000000055e-01 1.632790636069029111e-03
1.400000000000000000e+01 9.999500000000000055e-01 8.364643263300138801e-04
