   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.9814e-01
1.1885e-12,9.9805e-01
1.4125e-12,9.9796e-01
1.6788e-12,9.9787e-01
1.9953e-12,9.9777e-01
2.3714e-12,9.9766e-01
2.8184e-12,9.9756e-01
3.3497e-12,9.9744e-01
3.9811e-12,9.9732e-01
4.7315e-12,9.9720e-01
5.6234e-12,9.9707e-01
6.6834e-12,9.9693e-01
7.9433e-12,9.9679e-01
9.4406e-12,9.9664e-01
1.1220e-11,9.9648e-01
1.3335e-11,9.9631e-01
1.5849e-11,9.9614e-01
1.8836e-11,9.9596e-01
2.2387e-11,9.9577e-01
2.6607e-11,9.9558e-01
3.1623e-11,9.9537e-01
3.7584e-11,9.9515e-01
4.4668e-11,9.9493e-01
5.3088e-11,9.9469e-01
6.3096e-11,9.9444e-01
7.4989e-11,9.9419e-01
8.9125e-11,9.9392e-01
1.0593e-10,9.9363e-01
1.2589e-10,9.9334e-01
1.4962e-10,9.9303e-01
1.7783e-10,9.9270e-01
2.1135e-10,9.9236e-01
2.5119e-10,9.9201e-01
2.9854e-10,9.9164e-01
3.5481e-10,9.9125e-01
4.2170e-10,9.9084e-01
5.0119e-10,9.9041e-01
5.9566e-10,9.8997e-01
7.0795e-10,9.8951e-01
8.4140e-10,9.8902e-01
1.0000e-09,9.8851e-01
1.1885e-09,9.8798e-01
1.4125e-09,9.8742e-01
1.6788e-09,9.8684e-01
1.9953e-09,9.8623e-01
2.3714e-09,9.8559e-01
2.8184e-09,9.8493e-01
3.3497e-09,9.8423e-01
3.9811e-09,9.8351e-01
4.7315e-09,9.8274e-01
5.6234e-09,9.8195e-01
6.6834e-09,9.8112e-01
7.9433e-09,9.8025e-01
9.4406e-09,9.7934e-01
1.1220e-08,9.7840e-01
1.3335e-08,9.7740e-01
1.5849e-08,9.7637e-01
1.8836e-08,9.7529e-01
2.2387e-08,9.7416e-01
2.6607e-08,9.7298e-01
3.1623e-08,9.7174e-01
3.7584e-08,9.7046e-01
4.4668e-08,9.6911e-01
5.3088e-08,9.6771e-01
6.3096e-08,9.6624e-01
7.4989e-08,9.6471e-01
8.9125e-08,9.6311e-01
1.0593e-07,9.6145e-01
1.2589e-07,9.5971e-01
1.4962e-07,9.5789e-01
1.7783e-07,9.5600e-01
2.1135e-07,9.5403e-01
2.5119e-07,9.5197e-01
2.9854e-07,9.4982e-01
3.5481e-07,9.4759e-01
4.2170e-07,9.4525e-01
5.0119e-07,9.4282e-01
5.9566e-07,9.4029e-01
7.0795e-07,9.3766e-01
8.4140e-07,9.3491e-01
1.0000e-06,9.3205e-01
1.1885e-06,9.2908e-01
1.4125e-06,9.2598e-01
1.6788e-06,9.2276e-01
1.9953e-06,9.1941e-01
2.3714e-06,9.1593e-01
2.8184e-06,9.1231e-01
3.3497e-06,9.0855e-01
3.9811e-06,9.0465e-01
4.7315e-06,9.0059e-01
5.6234e-06,8.9638e-01
6.6834e-06,8.9201e-01
7.9433e-06,8.8748e-01
9.4406e-06,8.8278e-01
1.1220e-05,8.7791e-01
1.3335e-05,8.7287e-01
1.5849e-05,8.6765e-01
1.8836e-05,8.6224e-01
2.2387e-05,8.5665e-01
2.6607e-05,8.5087e-01
3.1623e-05,8.4490e-01
3.7584e-05,8.3873e-01
4.4668e-05,8.3236e-01
5.3088e-05,8.2578e-01
6.3096e-05,8.1901e-01
7.4989e-05,8.1202e-01
8.9125e-05,8.0483e-01
1.0593e-04,7.9743e-01
1.2589e-04,7.8982e-01
1.4962e-04,7.8200e-01
1.7783e-04,7.7396e-01
2.1135e-04,7.6572e-01
2.5119e-04,7.5726e-01
2.9854e-04,7.4860e-01
3.5481e-04,7.3973e-01
4.2170e-04,7.3066e-01
5.0119e-04,7.2138e-01
5.9566e-04,7.1191e-01
7.0795e-04,7.0224e-01
8.4140e-04,6.9239e-01
1.0000e-03,6.8235e-01
1.1885e-03,6.7213e-01
1.4125e-03,6.6175e-01
1.6788e-03,6.5120e-01
1.9953e-03,6.4049e-01
2.3714e-03,6.2964e-01
2.8184e-03,6.1865e-01
3.3497e-03,6.0753e-01
3.9811e-03,5.9629e-01
4.7315e-03,5.8494e-01
5.6234e-03,5.7349e-01
6.6834e-03,5.6195e-01
7.9433e-03,5.5034e-01
9.4406e-03,5.3866e-01
1.1220e-02,5.2692e-01
1.3335e-02,5.1514e-01
1.5849e-02,5.0332e-01
1.8836e-02,4.9149e-01
2.2387e-02,4.7964e-01
2.6607e-02,4.6779e-01
3.1623e-02,4.5594e-01
3.7584e-02,4.4412e-01
4.4668e-02,4.3232e-01
5.3088e-02,4.2055e-01
6.3096e-02,4.0882e-01
7.4989e-02,3.9713e-01
8.9125e-02,3.8550e-01
1.0593e-01,3.7391e-01
1.2589e-01,3.6238e-01
1.4962e-01,3.5090e-01
1.7783e-01,3.3947e-01
2.1135e-01,3.2809e-01
2.5119e-01,3.1674e-01
2.9854e-01,3.0542e-01
3.5481e-01,2.9412e-01
4.2170e-01,2.8283e-01
5.0119e-01,2.7152e-01
5.9566e-01,2.6018e-01
7.0795e-01,2.4879e-01
8.4140e-01,2.3733e-01
1.0000e+00,2.2578e-01
1.1885e+00,2.1412e-01
1.4125e+00,2.0235e-01
1.6788e+00,1.9045e-01
1.9953e+00,1.7845e-01
2.3714e+00,1.6636e-01
2.8184e+00,1.5424e-01
3.3497e+00,1.4215e-01
3.9811e+00,1.3017e-01
4.7315e+00,1.1841e-01
5.6234e+00,1.0698e-01
6.6834e+00,9.5999e-02
7.9433e+00,8.5565e-02
9.4406e+00,7.5773e-02
1.1220e+01,6.6694e-02
1.3335e+01,5.8373e-02
1.5849e+01,5.0828e-02
1.8836e+01,4.4056e-02
2.2387e+01,3.8030e-02
2.6607e+01,3.2711e-02
3.1623e+01,2.8049e-02
3.7584e+01,2.3987e-02
4.4668e+01,2.0467e-02
5.3088e+01,1.7428e-02
6.3096e+01,1.4816e-02
7.4989e+01,1.2577e-02
8.9125e+01,1.0663e-02
1.0593e+02,9.0311e-03
1.2589e+02,7.6421e-03
1.4962e+02,6.4617e-03
1.7783e+02,5.4601e-03
2.1135e+02,4.6112e-03
2.5119e+02,3.8923e-03
2.9854e+02,3.2842e-03
3.5481e+02,2.7701e-03
4.2170e+02,2.3357e-03
5.0119e+02,1.9689e-03
5.9566e+02,1.6593e-03
7.0795e+02,1.3981e-03
8.4140e+02,1.1779e-03
1.0000e+03,9.9212e-04
