   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.9995e-01
1.1885e-12,9.9995e-01
1.4125e-12,9.9994e-01
1.6788e-12,9.9994e-01
1.9953e-12,9.9994e-01
2.3714e-12,9.9993e-01
2.8184e-12,9.9993e-01
3.3497e-12,9.9992e-01
3.9811e-12,9.9992e-01
4.7315e-12,9.9991e-01
5.6234e-12,9.9990e-01
6.6834e-12,9.9990e-01
7.9433e-12,9.9989e-01
9.4406e-12,9.9988e-01
1.1220e-11,9.9987e-01
1.3335e-11,9.9986e-01
1.5849e-11,9.9985e-01
1.8836e-11,9.9984e-01
2.2387e-11,9.9983e-01
2.6607e-11,9.9982e-01
3.1623e-11,9.9981e-01
3.7584e-11,9.9979e-01
4.4668e-11,9.9978e-01
5.3088e-11,9.9976e-01
6.3096e-11,9.9974e-01
7.4989e-11,9.9972e-01
8.9125e-11,9.9970e-01
1.0593e-10,9.9967e-01
1.2589e-10,9.9964e-01
1.4962e-10,9.9961e-01
1.7783e-10,9.9958e-01
2.1135e-10,9.9955e-01
2.5119e-10,9.9951e-01
2.9854e-10,9.9947e-01
3.5481e-10,9.9942e-01
4.2170e-10,9.9937e-01
5.0119e-10,9.9932e-01
5.9566e-10,9.9926e-01
7.0795e-10,9.9919e-01
8.4140e-10,9.9912e-01
1.0000e-09,9.9904e-01
1.1885e-09,9.9895e-01
1.4125e-09,9.9886e-01
1.6788e-09,9.9875e-01
1.9953e-09,9.9864e-01
2.3714e-09,9.9851e-01
2.8184e-09,9.9838e-01
3.3497e-09,9.9823e-01
3.9811e-09,9.9807e-01
4.7315e-09,9.9789e-01
5.6234e-09,9.9770e-01
6.6834e-09,9.9749e-01
7.9433e-09,9.9726e-01
9.4406e-09,9.9701e-01
1.1220e-08,9.9674e-01
1.3335e-08,9.9645e-01
1.5849e-08,9.9614e-01
1.8836e-08,9.9579e-01
2.2387e-08,9.9542e-01
2.6607e-08,9.9502e-01
3.1623e-08,9.9459e-01
3.7584e-08,9.9412e-01
4.4668e-08,9.9362e-01
5.3088e-08,9.9308e-01
6.3096e-08,9.9250e-01
7.4989e-08,9.9188e-01
8.9125e-08,9.9121e-01
1.0593e-07,9.9050e-01
1.2589e-07,9.8973e-01
1.4962e-07,9.8892e-01
1.7783e-07,9.8805e-01
2.1135e-07,9.8713e-01
2.5119e-07,9.8615e-01
2.9854e-07,9.8511e-01
3.5481e-07,9.8401e-01
4.2170e-07,9.8284e-01
5.0119e-07,9.8161e-01
5.9566e-07,9.8031e-01
7.0795e-07,9.7894e-01
8.4140e-07,9.7749e-01
1.0000e-06,9.7597e-01
1.1885e-06,9.7438e-01
1.4125e-06,9.7270e-01
1.6788e-06,9.7095e-01
1.9953e-06,9.6911e-01
2.3714e-06,9.6719e-01
2.8184e-06,9.6518e-01
3.3497e-06,9.6309e-01
3.9811e-06,9.6091e-01
4.7315e-06,9.5864e-01
5.6234e-06,9.5628e-01
6.6834e-06,9.5383e-01
7.9433e-06,9.5128e-01
9.4406e-06,9.4864e-01
1.1220e-05,9.4589e-01
1.3335e-05,9.4305e-01
1.5849e-05,9.4011e-01
1.8836e-05,9.3706e-01
2.2387e-05,9.3391e-01
2.6607e-05,9.3065e-01
3.1623e-05,9.2728e-01
3.7584e-05,9.2379e-01
4.4668e-05,9.2019e-01
5.3088e-05,9.1647e-01
6.3096e-05,9.1262e-01
7.4989e-05,9.0864e-01
8.9125e-05,9.0453e-01
1.0593e-04,9.0028e-01
1.2589e-04,8.9589e-01
1.4962e-04,8.9134e-01
1.7783e-04,8.8664e-01
2.1135e-04,8.8177e-01
2.5119e-04,8.7673e-01
2.9854e-04,8.7152e-01
3.5481e-04,8.6611e-01
4.2170e-04,8.6051e-01
5.0119e-04,8.5470e-01
5.9566e-04,8.4868e-01
7.0795e-04,8.4243e-01
8.4140e-04,8.3594e-01
1.0000e-03,8.2921e-01
1.1885e-03,8.2221e-01
1.4125e-03,8.1495e-01
1.6788e-03,8.0741e-01
