   t   ,G_relax
   s   ,  GPa  
1.0000e-12,5.4003e-01
1.1885e-12,5.3842e-01
1.4125e-12,5.3681e-01
1.6788e-12,5.3520e-01
1.9953e-12,5.3358e-01
2.3714e-12,5.3197e-01
2.8184e-12,5.3036e-01
3.3497e-12,5.2874e-01
3.9811e-12,5.2713e-01
4.7315e-12,5.2551e-01
5.6234e-12,5.2390e-01
6.6834e-12,5.2228e-01
7.9433e-12,5.2066e-01
9.4406e-12,5.1905e-01
1.1220e-11,5.1743e-01
1.3335e-11,5.1581e-01
1.5849e-11,5.1419e-01
1.8836e-11,5.1258e-01
2.2387e-11,5.1096e-01
2.6607e-11,5.0934e-01
3.1623e-11,5.0772e-01
3.7584e-11,5.0610e-01
4.4668e-11,5.0448e-01
5.3088e-11,5.0286e-01
6.3096e-11,5.0124e-01
7.4989e-11,4.9962e-01
8.9125e-11,4.9800e-01
1.0593e-10,4.9638e-01
1.2589e-10,4.9476e-01
1.4962e-10,4.9314e-01
1.7783e-10,4.9152e-01
2.1135e-10,4.8990e-01
2.5119e-10,4.8828e-01
2.9854e-10,4.8667e-01
3.5481e-10,4.8505e-01
4.2170e-10,4.8343e-01
5.0119e-10,4.8181e-01
5.9566e-10,4.8019e-01
7.0795e-10,4.7858e-01
8.4140e-10,4.7696e-01
1.0000e-09,4.7534e-01
1.1885e-09,4.7373e-01
1.4125e-09,4.7211e-01
1.6788e-09,4.7050e-01
1.9953e-09,4.6889e-01
2.3714e-09,4.6727e-01
2.8184e-09,4.6566e-01
3.3497e-09,4.6405e-01
3.9811e-09,4.6244e-01
4.7315e-09,4.6083e-01
5.6234e-09,4.5922e-01
6.6834e-09,4.5761e-01
7.9433e-09,4.5600e-01
9.4406e-09,4.5440e-01
1.1220e-08,4.5279e-01
1.3335e-08,4.5118e-01
1.5849e-08,4.4958e-01
1.8836e-08,4.4798e-01
2.2387e-08,4.4638e-01
2.6607e-08,4.4478e-01
3.1623e-08,4.4318e-01
3.7584e-08,4.4158e-01
4.4668e-08,4.3998e-01
5.3088e-08,4.3839e-01
6.3096e-08,4.3679e-01
7.4989e-08,4.3520e-01
8.9125e-08,4.3361e-01
