   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.2420e-01
1.1885e-12,9.2289e-01
1.4125e-12,9.2156e-01
1.6788e-12,9.2020e-01
1.9953e-12,9.1883e-01
2.3714e-12,9.1743e-01
2.8184e-12,9.1601e-01
3.3497e-12,9.1457e-01
3.9811e-12,9.1311e-01
4.7315e-12,9.1162e-01
5.6234e-12,9.1011e-01
6.6834e-12,9.0858e-01
7.9433e-12,9.0703e-01
9.4406e-12,9.0545e-01
1.1220e-11,9.0384e-01
1.3335e-11,9.0222e-01
1.5849e-11,9.0056e-01
1.8836e-11,8.9889e-01
2.2387e-11,8.9718e-01
2.6607e-11,8.9546e-01
3.1623e-11,8.9370e-01
3.7584e-11,8.9192e-01
4.4668e-11,8.9012e-01
5.3088e-11,8.8829e-01
6.3096e-11,8.8643e-01
7.4989e-11,8.8454e-01
8.9125e-11,8.8263e-01
1.0593e-10,8.8069e-01
1.2589e-10,8.7872e-01
1.4962e-10,8.7673e-01
1.7783e-10,8.7471e-01
2.1135e-10,8.7265e-01
2.5119e-10,8.7057e-01
2.9854e-10,8.6846e-01
3.5481e-10,8.6632e-01
4.2170e-10,8.6416e-01
5.0119e-10,8.6196e-01
5.9566e-10,8.5973e-01
7.0795e-10,8.5747e-01
8.4140e-10,8.5518e-01
1.0000e-09,8.5287e-01
1.1885e-09,8.5052e-01
1.4125e-09,8.4814e-01
1.6788e-09,8.4573e-01
1.9953e-09,8.4328e-01
2.3714e-09,8.4081e-01
2.8184e-09,8.3830e-01
3.3497e-09,8.3577e-01
3.9811e-09,8.3320e-01
4.7315e-09,8.3060e-01
5.6234e-09,8.2796e-01
6.6834e-09,8.2530e-01
7.9433e-09,8.2260e-01
9.4406e-09,8.1987e-01
1.1220e-08,8.1710e-01
1.3335e-08,8.1431e-01
1.5849e-08,8.1148e-01
1.8836e-08,8.0861e-01
2.2387e-08,8.0572e-01
2.6607e-08,8.0279e-01
3.1623e-08,7.9982e-01
3.7584e-08,7.9683e-01
4.4668e-08,7.9380e-01
5.3088e-08,7.9074e-01
6.3096e-08,7.8764e-01
7.4989e-08,7.8451e-01
8.9125e-08,7.8135e-01
1.0593e-07,7.7815e-01
1.2589e-07,7.7492e-01
1.4962e-07,7.7166e-01
1.7783e-07,7.6836e-01
2.1135e-07,7.6504e-01
2.5119e-07,7.6167e-01
2.9854e-07,7.5828e-01
3.5481e-07,7.5485e-01
4.2170e-07,7.5139e-01
5.0119e-07,7.4790e-01
5.9566e-07,7.4437e-01
7.0795e-07,7.4081e-01
8.4140e-07,7.3722e-01
1.0000e-06,7.3360e-01
1.1885e-06,7.2994e-01
1.4125e-06,7.2626e-01
1.6788e-06,7.2254e-01
1.9953e-06,7.1879e-01
2.3714e-06,7.1501e-01
2.8184e-06,7.1120e-01
3.3497e-06,7.0737e-01
3.9811e-06,7.0350e-01
4.7315e-06,6.9960e-01
5.6234e-06,6.9567e-01
6.6834e-06,6.9171e-01
7.9433e-06,6.8773e-01
9.4406e-06,6.8371e-01
1.1220e-05,6.7967e-01
1.3335e-05,6.7561e-01
1.5849e-05,6.7151e-01
1.8836e-05,6.6739e-01
2.2387e-05,6.6324e-01
2.6607e-05,6.5907e-01
3.1623e-05,6.5487e-01
3.7584e-05,6.5065e-01
4.4668e-05,6.4641e-01
5.3088e-05,6.4214e-01
6.3096e-05,6.3784e-01
7.4989e-05,6.3353e-01
8.9125e-05,6.2919e-01
1.0593e-04,6.2484e-01
1.2589e-04,6.2046e-01
1.4962e-04,6.1606e-01
1.7783e-04,6.1165e-01
2.1135e-04,6.0721e-01
2.5119e-04,6.0276e-01
2.9854e-04,5.9829e-01
3.5481e-04,5.9380e-01
4.2170e-04,5.8930e-01
5.0119e-04,5.8478e-01
5.9566e-04,5.8025e-01
7.0795e-04,5.7570e-01
8.4140e-04,5.7114e-01
1.0000e-03,5.6657e-01
1.1885e-03,5.6199e-01
1.4125e-03,5.5739e-01
1.6788e-03,5.5278e-01
1.9953e-03,5.4817e-01
2.3714e-03,5.4354e-01
2.8184e-03,5.3890e-01
3.3497e-03,5.3426e-01
3.9811e-03,5.2961e-01
4.7315e-03,5.2495e-01
5.6234e-03,5.2028e-01
6.6834e-03,5.1560e-01
7.9433e-03,5.1092e-01
9.4406e-03,5.0623e-01
1.1220e-02,5.0154e-01
1.3335e-02,4.9684e-01
1.5849e-02,4.9213e-01
1.8836e-02,4.8741e-01
2.2387e-02,4.8268e-01
2.6607e-02,4.7793e-01
3.1623e-02,4.7318e-01
3.7584e-02,4.6841e-01
4.4668e-02,4.6361e-01
5.3088e-02,4.5879e-01
6.3096e-02,4.5394e-01
7.4989e-02,4.4905e-01
8.9125e-02,4.4410e-01
1.0593e-01,4.3909e-01
1.2589e-01,4.3400e-01
1.4962e-01,4.2879e-01
1.7783e-01,4.2345e-01
2.1135e-01,4.1793e-01
2.5119e-01,4.1219e-01
2.9854e-01,4.0615e-01
3.5481e-01,3.9974e-01
4.2170e-01,3.9285e-01
5.0119e-01,3.8535e-01
5.9566e-01,3.7709e-01
7.0795e-01,3.6788e-01
8.4140e-01,3.5751e-01
1.0000e+00,3.4575e-01
1.1885e+00,3.3238e-01
1.4125e+00,3.1722e-01
1.6788e+00,3.0018e-01
1.9953e+00,2.8129e-01
2.3714e+00,2.6075e-01
2.8184e+00,2.3897e-01
3.3497e+00,2.1647e-01
3.9811e+00,1.9387e-01
4.7315e+00,1.7181e-01
5.6234e+00,1.5082e-01
6.6834e+00,1.3130e-01
7.9433e+00,1.1352e-01
9.4406e+00,9.7594e-02
1.1220e+01,8.3514e-02
1.3335e+01,7.1206e-02
1.5849e+01,6.0538e-02
1.8836e+01,5.1353e-02
2.2387e+01,4.3486e-02
2.6607e+01,3.6775e-02
3.1623e+01,3.1067e-02
3.7584e+01,2.6223e-02
4.4668e+01,2.2121e-02
5.3088e+01,1.8651e-02
6.3096e+01,1.5719e-02
7.4989e+01,1.3244e-02
8.9125e+01,1.1156e-02
1.0593e+02,9.3952e-03
1.2589e+02,7.9111e-03
1.4962e+02,6.6606e-03
1.7783e+02,5.6072e-03
2.1135e+02,4.7199e-03
2.5119e+02,3.9728e-03
2.9854e+02,3.3437e-03
3.5481e+02,2.8141e-03
4.2170e+02,2.3683e-03
5.0119e+02,1.9931e-03
5.9566e+02,1.6772e-03
7.0795e+02,1.4114e-03
8.4140e+02,1.1877e-03
1.0000e+03,9.9942e-04
