   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.5323e-06,6.2822e-04
1.1885e-04,2.1491e-06,7.4661e-04
1.4125e-04,3.0142e-06,8.8732e-04
1.6788e-04,4.2276e-06,1.0545e-03
1.9953e-04,5.9295e-06,1.2533e-03
2.3714e-04,8.3164e-06,1.4894e-03
2.8184e-04,1.1664e-05,1.7700e-03
3.3497e-04,1.6360e-05,2.1035e-03
3.9811e-04,2.2945e-05,2.4997e-03
4.7315e-04,3.2180e-05,2.9705e-03
5.6234e-04,4.5130e-05,3.5299e-03
6.6834e-04,6.3289e-05,4.1944e-03
7.9433e-04,8.8751e-05,4.9838e-03
9.4406e-04,1.2445e-04,5.9213e-03
1.1220e-03,1.7448e-04,7.0347e-03
1.3335e-03,2.4460e-04,8.3564e-03
1.5849e-03,3.4284e-04,9.9251e-03
1.8836e-03,4.8042e-04,1.1786e-02
2.2387e-03,6.7302e-04,1.3992e-02
2.6607e-03,9.4246e-04,1.6606e-02
3.1623e-03,1.3191e-03,1.9700e-02
3.7584e-03,1.8449e-03,2.3355e-02
4.4668e-03,2.5781e-03,2.7667e-02
5.3088e-03,3.5982e-03,3.2739e-02
6.3096e-03,5.0137e-03,3.8684e-02
7.4989e-03,6.9710e-03,4.5619e-02
8.9125e-03,9.6645e-03,5.3653e-02
1.0593e-02,1.3347e-02,6.2877e-02
1.2589e-02,1.8340e-02,7.3335e-02
1.4962e-02,2.5031e-02,8.4993e-02
1.7783e-02,3.3869e-02,9.7695e-02
2.1135e-02,4.5319e-02,1.1111e-01
2.5119e-02,5.9799e-02,1.2469e-01
2.9854e-02,7.7571e-02,1.3766e-01
3.5481e-02,9.8613e-02,1.4906e-01
4.2170e-02,1.2251e-01,1.5790e-01
5.0119e-02,1.4845e-01,1.6331e-01
5.9566e-02,1.7526e-01,1.6479e-01
7.0795e-02,2.0166e-01,1.6232e-01
8.4140e-02,2.2651e-01,1.5634e-01
1.0000e-01,2.4897e-01,1.4766e-01
1.1885e-01,2.6859e-01,1.3719e-01
1.4125e-01,2.8529e-01,1.2584e-01
1.6788e-01,2.9926e-01,1.1432e-01
1.9953e-01,3.1082e-01,1.0319e-01
2.3714e-01,3.2036e-01,9.2769e-02
2.8184e-01,3.2826e-01,8.3262e-02
3.3497e-01,3.3486e-01,7.4739e-02
3.9811e-01,3.4045e-01,6.7198e-02
4.7315e-01,3.4525e-01,6.0590e-02
5.6234e-01,3.4946e-01,5.4843e-02
6.6834e-01,3.5321e-01,4.9872e-02
7.9433e-01,3.5662e-01,4.5589e-02
9.4406e-01,3.5976e-01,4.1912e-02
1.1220e+00,3.6270e-01,3.8763e-02
1.3335e+00,3.6549e-01,3.6071e-02
1.5849e+00,3.6817e-01,3.3775e-02
1.8836e+00,3.7076e-01,3.1818e-02
2.2387e+00,3.7328e-01,3.0153e-02
2.6607e+00,3.7575e-01,2.8738e-02
3.1623e+00,3.7817e-01,2.7537e-02
3.7584e+00,3.8057e-01,2.6519e-02
4.4668e+00,3.8295e-01,2.5657e-02
5.3088e+00,3.8530e-01,2.4928e-02
6.3096e+00,3.8765e-01,2.4313e-02
7.4989e+00,3.8998e-01,2.3795e-02
8.9125e+00,3.9231e-01,2.3359e-02
1.0593e+01,3.9463e-01,2.2993e-02
1.2589e+01,3.9694e-01,2.2686e-02
1.4962e+01,3.9926e-01,2.2431e-02
1.7783e+01,4.0157e-01,2.2218e-02
2.1135e+01,4.0389e-01,2.2042e-02
2.5119e+01,4.0620e-01,2.1897e-02
2.9854e+01,4.0851e-01,2.1779e-02
3.5481e+01,4.1083e-01,2.1682e-02
4.2170e+01,4.1315e-01,2.1605e-02
5.0119e+01,4.1547e-01,2.1543e-02
5.9566e+01,4.1779e-01,2.1495e-02
7.0795e+01,4.2011e-01,2.1458e-02
8.4140e+01,4.2244e-01,2.1430e-02
1.0000e+02,4.2477e-01,2.1410e-02
1.1885e+02,4.2710e-01,2.1397e-02
1.4125e+02,4.2943e-01,2.1390e-02
1.6788e+02,4.3177e-01,2.1387e-02
1.9953e+02,4.3411e-01,2.1387e-02
2.3714e+02,4.3645e-01,2.1391e-02
2.8184e+02,4.3879e-01,2.1397e-02
3.3497e+02,4.4114e-01,2.1405e-02
3.9811e+02,4.4349e-01,2.1415e-02
4.7315e+02,4.4584e-01,2.1426e-02
5.6234e+02,4.4819e-01,2.1437e-02
6.6834e+02,4.5055e-01,2.1449e-02
7.9433e+02,4.5290e-01,2.1462e-02
9.4406e+02,4.5526e-01,2.1474e-02
1.1220e+03,4.5762e-01,2.1487e-02
1.3335e+03,4.5999e-01,2.1499e-02
1.5849e+03,4.6235e-01,2.1511e-02
1.8836e+03,4.6472e-01,2.1523e-02
2.2387e+03,4.6709e-01,2.1534e-02
2.6607e+03,4.6946e-01,2.1545e-02
3.1623e+03,4.7183e-01,2.1555e-02
3.7584e+03,4.7420e-01,2.1564e-02
4.4668e+03,4.7657e-01,2.1573e-02
5.3088e+03,4.7895e-01,2.1581e-02
6.3096e+03,4.8132e-01,2.1588e-02
7.4989e+03,4.8370e-01,2.1594e-02
8.9125e+03,4.8608e-01,2.1599e-02
1.0593e+04,4.8845e-01,2.1604e-02
1.2589e+04,4.9083e-01,2.1608e-02
1.4962e+04,4.9321e-01,2.1610e-02
1.7783e+04,4.9559e-01,2.1612e-02
2.1135e+04,4.9797e-01,2.1613e-02
2.5119e+04,5.0035e-01,2.1613e-02
2.9854e+04,5.0272e-01,2.1613e-02
3.5481e+04,5.0510e-01,2.1611e-02
4.2170e+04,5.0748e-01,2.1608e-02
5.0119e+04,5.0986e-01,2.1604e-02
