   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
6.6834e+05,9.1062e-01,1.6651e-02
7.9433e+05,9.1238e-01,1.6395e-02
9.4406e+05,9.1411e-01,1.6148e-02
1.1220e+06,9.1582e-01,1.5908e-02
1.3335e+06,9.1751e-01,1.5675e-02
1.5849e+06,9.1917e-01,1.5449e-02
1.8836e+06,9.2082e-01,1.5230e-02
2.2387e+06,9.2246e-01,1.5018e-02
2.6607e+06,9.2407e-01,1.4812e-02
3.1623e+06,9.2568e-01,1.4612e-02
3.7584e+06,9.2726e-01,1.4418e-02
4.4668e+06,9.2883e-01,1.4229e-02
5.3088e+06,9.3039e-01,1.4047e-02
6.3096e+06,9.3194e-01,1.3869e-02
7.4989e+06,9.3347e-01,1.3697e-02
8.9125e+06,9.3499e-01,1.3529e-02
1.0593e+07,9.3651e-01,1.3366e-02
1.2589e+07,9.3801e-01,1.3208e-02
1.4962e+07,9.3949e-01,1.3054e-02
1.7783e+07,9.4097e-01,1.2905e-02
2.1135e+07,9.4244e-01,1.2759e-02
2.5119e+07,9.4390e-01,1.2617e-02
2.9854e+07,9.4535e-01,1.2479e-02
3.5481e+07,9.4679e-01,1.2345e-02
4.2170e+07,9.4822e-01,1.2214e-02
5.0119e+07,9.4964e-01,1.2087e-02
5.9566e+07,9.5105e-01,1.1962e-02
7.0795e+07,9.5245e-01,1.1841e-02
8.4140e+07,9.5384e-01,1.1722e-02
1.0000e+08,9.5521e-01,1.1607e-02
1.1885e+08,9.5658e-01,1.1494e-02
1.4125e+08,9.5794e-01,1.1383e-02
1.6788e+08,9.5928e-01,1.1275e-02
1.9953e+08,9.6061e-01,1.1170e-02
2.3714e+08,9.6193e-01,1.1066e-02
2.8184e+08,9.6324e-01,1.0965e-02
3.3497e+08,9.6453e-01,1.0866e-02
3.9811e+08,9.6581e-01,1.0768e-02
4.7315e+08,9.6708e-01,1.0673e-02
5.6234e+08,9.6833e-01,1.0579e-02
6.6834e+08,9.6956e-01,1.0487e-02
7.9433e+08,9.7078e-01,1.0396e-02
9.4406e+08,9.7198e-01,1.0307e-02
1.1220e+09,9.7316e-01,1.0219e-02
1.3335e+09,9.7432e-01,1.0133e-02
1.5849e+09,9.7546e-01,1.0048e-02
1.8836e+09,9.7659e-01,9.9638e-03
2.2387e+09,9.7769e-01,9.8809e-03
2.6607e+09,9.7877e-01,9.7989e-03
3.1623e+09,9.7983e-01,9.7180e-03
3.7584e+09,9.8086e-01,9.6379e-03
4.4668e+09,9.8188e-01,9.5587e-03
5.3088e+09,9.8286e-01,9.4802e-03
6.3096e+09,9.8382e-01,9.4025e-03
7.4989e+09,9.8476e-01,9.3254e-03
8.9125e+09,9.8567e-01,9.2490e-03
1.0593e+10,9.8655e-01,9.1731e-03
1.2589e+10,9.8740e-01,9.0977e-03
1.4962e+10,9.8823e-01,9.0229e-03
1.7783e+10,9.8903e-01,8.5184e-03
2.1135e+10,9.8981e-01,7.8259e-03
2.5119e+10,9.9055e-01,7.1893e-03
2.9854e+10,9.9127e-01,6.6040e-03
3.5481e+10,9.9195e-01,6.0659e-03
4.2170e+10,9.9259e-01,5.5714e-03
5.0119e+10,9.9321e-01,5.1168e-03
5.9566e+10,9.9379e-01,4.6990e-03
7.0795e+10,9.9434e-01,4.3150e-03
8.4140e+10,9.9486e-01,3.9622e-03
1.0000e+11,9.9534e-01,3.6379e-03
