   t   ,G_relax
   s   ,  GPa  
1.0000e-12,9.9824e-01
1.1885e-12,9.9810e-01
1.4125e-12,9.9795e-01
1.6788e-12,9.9779e-01
1.9953e-12,9.9761e-01
2.3714e-12,9.9743e-01
2.8184e-12,9.9723e-01
3.3497e-12,9.9701e-01
3.9811e-12,9.9679e-01
4.7315e-12,9.9655e-01
5.6234e-12,9.9629e-01
6.6834e-12,9.9601e-01
7.9433e-12,9.9572e-01
9.4406e-12,9.9541e-01
1.1220e-11,9.9508e-01
1.3335e-11,9.9472e-01
1.5849e-11,9.9435e-01
1.8836e-11,9.9395e-01
2.2387e-11,9.9353e-01
2.6607e-11,9.9309e-01
3.1623e-11,9.9262e-01
3.7584e-11,9.9212e-01
4.4668e-11,9.9159e-01
5.3088e-11,9.9103e-01
6.3096e-11,9.9045e-01
7.4989e-11,9.8983e-01
8.9125e-11,9.8917e-01
1.0593e-10,9.8848e-01
1.2589e-10,9.8776e-01
1.4962e-10,9.8700e-01
1.7783e-10,9.8620e-01
2.1135e-10,9.8536e-01
2.5119e-10,9.8447e-01
2.9854e-10,9.8355e-01
3.5481e-10,9.8258e-01
4.2170e-10,9.8157e-01
5.0119e-10,9.8050e-01
5.9566e-10,9.7939e-01
7.0795e-10,9.7823e-01
8.4140e-10,9.7702e-01
1.0000e-09,9.7576e-01
1.1885e-09,9.7444e-01
1.4125e-09,9.7307e-01
1.6788e-09,9.7164e-01
1.9953e-09,9.7016e-01
2.3714e-09,9.6862e-01
2.8184e-09,9.6701e-01
3.3497e-09,9.6535e-01
3.9811e-09,9.6363e-01
4.7315e-09,9.6184e-01
5.6234e-09,9.5999e-01
6.6834e-09,9.5808e-01
7.9433e-09,9.5610e-01
9.4406e-09,9.5406e-01
1.1220e-08,9.5195e-01
1.3335e-08,9.4978e-01
1.5849e-08,9.4754e-01
1.8836e-08,9.4523e-01
2.2387e-08,9.4286e-01
2.6607e-08,9.4042e-01
3.1623e-08,9.3791e-01
3.7584e-08,9.3534e-01
4.4668e-08,9.3270e-01
5.3088e-08,9.2999e-01
6.3096e-08,9.2722e-01
7.4989e-08,9.2438e-01
8.9125e-08,9.2147e-01
1.0593e-07,9.1850e-01
1.2589e-07,9.1546e-01
1.4962e-07,9.1237e-01
1.7783e-07,9.0921e-01
2.1135e-07,9.0598e-01
2.5119e-07,9.0270e-01
2.9854e-07,8.9936e-01
3.5481e-07,8.9595e-01
4.2170e-07,8.9249e-01
5.0119e-07,8.8898e-01
5.9566e-07,8.8540e-01
7.0795e-07,8.8178e-01
8.4140e-07,8.7810e-01
1.0000e-06,8.7436e-01
1.1885e-06,8.7058e-01
1.4125e-06,8.6674e-01
1.6788e-06,8.6286e-01
1.9953e-06,8.5893e-01
2.3714e-06,8.5495e-01
2.8184e-06,8.5093e-01
3.3497e-06,8.4686e-01
3.9811e-06,8.4275e-01
4.7315e-06,8.3859e-01
5.6234e-06,8.3439e-01
6.6834e-06,8.3014e-01
7.9433e-06,8.2586e-01
9.4406e-06,8.2153e-01
1.1220e-05,8.1716e-01
1.3335e-05,8.1275e-01
1.5849e-05,8.0829e-01
1.8836e-05,8.0379e-01
2.2387e-05,7.9925e-01
2.6607e-05,7.9466e-01
3.1623e-05,7.9003e-01
3.7584e-05,7.8535e-01
4.4668e-05,7.8062e-01
5.3088e-05,7.7584e-01
6.3096e-05,7.7101e-01
7.4989e-05,7.6613e-01
8.9125e-05,7.6118e-01
1.0593e-04,7.5618e-01
1.2589e-04,7.5111e-01
1.4962e-04,7.4597e-01
1.7783e-04,7.4077e-01
2.1135e-04,7.3549e-01
2.5119e-04,7.3012e-01
2.9854e-04,7.2468e-01
3.5481e-04,7.1915e-01
4.2170e-04,7.1352e-01
5.0119e-04,7.0779e-01
5.9566e-04,7.0195e-01
7.0795e-04,6.9601e-01
8.4140e-04,6.8994e-01
1.0000e-03,6.8375e-01
1.1885e-03,6.7743e-01
1.4125e-03,6.7097e-01
1.6788e-03,6.6436e-01
1.9953e-03,6.5760e-01
2.3714e-03,6.5068e-01
2.8184e-03,6.4359e-01
