   t   ,G_relax
   s   ,  GPa  
1.0000e-12,2.1714e-01
1.1885e-12,2.1783e-01
1.4125e-12,2.1852e-01
1.6788e-12,2.1921e-01
1.9953e-12,2.1990e-01
2.3714e-12,2.2060e-01
2.8184e-12,2.2130e-01
3.3497e-12,2.2200e-01
3.9811e-12,2.2270e-01
4.7315e-12,2.2341e-01
5.6234e-12,2.2412e-01
6.6834e-12,2.2483e-01
7.9433e-12,2.2554e-01
9.4406e-12,2.2626e-01
1.1220e-11,2.2698e-01
1.3335e-11,2.2770e-01
1.5849e-11,2.2843e-01
1.8836e-11,2.2916e-01
2.2387e-11,2.2989e-01
2.6607e-11,2.3062e-01
3.1623e-11,2.3136e-01
3.7584e-11,2.3210e-01
4.4668e-11,2.3284e-01
5.3088e-11,2.3359e-01
6.3096e-11,2.3433e-01
7.4989e-11,2.3508e-01
8.9125e-11,2.3584e-01
1.0593e-10,2.3659e-01
1.2589e-10,2.3735e-01
1.4962e-10,2.3812e-01
1.7783e-10,2.3888e-01
2.1135e-10,2.3965e-01
2.5119e-10,2.4042e-01
2.9854e-10,2.4119e-01
3.5481e-10,2.4197e-01
4.2170e-10,2.4275e-01
5.0119e-10,2.4353e-01
5.9566e-10,2.4432e-01
7.0795e-10,2.4511e-01
8.4140e-10,2.4590e-01
1.0000e-09,2.4670e-01
1.1885e-09,2.4749e-01
1.4125e-09,2.4829e-01
1.6788e-09,2.4910e-01
1.9953e-09,2.4991e-01
2.3714e-09,2.5072e-01
2.8184e-09,2.5153e-01
3.3497e-09,2.5235e-01
3.9811e-09,2.5317e-01
4.7315e-09,2.5399e-01
5.6234e-09,2.5482e-01
6.6834e-09,2.5565e-01
7.9433e-09,2.5648e-01
9.4406e-09,2.5732e-01
1.1220e-08,2.5816e-01
1.3335e-08,2.5900e-01
1.5849e-08,2.5985e-01
1.8836e-08,2.6070e-01
2.2387e-08,2.6155e-01
2.6607e-08,2.6241e-01
3.1623e-08,2.6327e-01
3.7584e-08,2.6413e-01
4.4668e-08,2.6499e-01
5.3088e-08,2.6586e-01
6.3096e-08,2.6674e-01
7.4989e-08,2.6762e-01
8.9125e-08,2.6850e-01
1.0593e-07,2.6938e-01
1.2589e-07,2.7027e-01
1.4962e-07,2.7116e-01
1.7783e-07,2.7205e-01
2.1135e-07,2.7295e-01
2.5119e-07,2.7385e-01
2.9854e-07,2.7476e-01
3.5481e-07,2.7567e-01
4.2170e-07,2.7658e-01
5.0119e-07,2.7750e-01
