   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
6.6834e+05,9.3341e-01,2.7559e-02
7.9433e+05,9.3645e-01,2.6773e-02
9.4406e+05,9.3940e-01,2.5983e-02
1.1220e+06,9.4226e-01,2.5191e-02
1.3335e+06,9.4503e-01,2.4399e-02
1.5849e+06,9.4771e-01,2.3607e-02
1.8836e+06,9.5031e-01,2.2817e-02
2.2387e+06,9.5281e-01,2.2031e-02
2.6607e+06,9.5523e-01,2.1250e-02
3.1623e+06,9.5756e-01,2.0474e-02
3.7584e+06,9.5980e-01,1.9707e-02
4.4668e+06,9.6196e-01,1.8948e-02
5.3088e+06,9.6403e-01,1.8199e-02
6.3096e+06,9.6602e-01,1.7461e-02
7.4989e+06,9.6793e-01,1.6736e-02
8.9125e+06,9.6975e-01,1.6023e-02
1.0593e+07,9.7150e-01,1.5325e-02
1.2589e+07,9.7317e-01,1.4641e-02
1.4962e+07,9.7476e-01,1.3973e-02
1.7783e+07,9.7628e-01,1.3322e-02
2.1135e+07,9.7773e-01,1.2687e-02
2.5119e+07,9.7910e-01,1.2070e-02
2.9854e+07,9.8041e-01,1.1471e-02
3.5481e+07,9.8166e-01,1.0890e-02
4.2170e+07,9.8283e-01,1.0328e-02
5.0119e+07,9.8395e-01,9.7840e-03
5.9566e+07,9.8501e-01,9.2594e-03
7.0795e+07,9.8601e-01,8.7538e-03
8.4140e+07,9.8695e-01,8.2673e-03
1.0000e+08,9.8784e-01,7.7997e-03
1.1885e+08,9.8868e-01,7.3510e-03
1.4125e+08,9.8947e-01,6.9210e-03
1.6788e+08,9.9022e-01,6.5094e-03
1.9953e+08,9.9091e-01,6.1162e-03
2.3714e+08,9.9157e-01,5.7408e-03
2.8184e+08,9.9219e-01,5.3830e-03
3.3497e+08,9.9276e-01,5.0425e-03
3.9811e+08,9.9330e-01,4.7188e-03
4.7315e+08,9.9381e-01,4.4114e-03
5.6234e+08,9.9428e-01,4.1200e-03
6.6834e+08,9.9472e-01,3.8440e-03
7.9433e+08,9.9513e-01,3.5829e-03
9.4406e+08,9.9551e-01,3.3364e-03
1.1220e+09,9.9587e-01,3.1037e-03
1.3335e+09,9.9620e-01,2.8845e-03
1.5849e+09,9.9650e-01,2.6781e-03
1.8836e+09,9.9679e-01,2.4842e-03
2.2387e+09,9.9705e-01,2.3020e-03
2.6607e+09,9.9730e-01,2.1312e-03
3.1623e+09,9.9752e-01,1.9712e-03
3.7584e+09,9.9773e-01,1.8215e-03
4.4668e+09,9.9792e-01,1.6815e-03
5.3088e+09,9.9810e-01,1.5509e-03
6.3096e+09,9.9827e-01,1.4291e-03
7.4989e+09,9.9842e-01,1.3156e-03
8.9125e+09,9.9856e-01,1.2101e-03
1.0593e+10,9.9868e-01,1.1120e-03
