   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,1.1557e-05,6.2139e-04
1.1885e-04,1.5289e-05,7.3758e-04
1.4125e-04,2.0224e-05,8.7535e-04
1.6788e-04,2.6747e-05,1.0387e-03
1.9953e-04,3.5369e-05,1.2322e-03
2.3714e-04,4.6761e-05,1.4615e-03
2.8184e-04,6.1806e-05,1.7330e-03
3.3497e-04,8.1669e-05,2.0544e-03
3.9811e-04,1.0788e-04,2.4346e-03
4.7315e-04,1.4245e-04,2.8841e-03
5.6234e-04,1.8800e-04,3.4151e-03
6.6834e-04,2.4799e-04,4.0419e-03
7.9433e-04,3.2692e-04,4.7812e-03
9.4406e-04,4.3065e-04,5.6521e-03
1.1220e-03,5.6682e-04,6.6768e-03
1.3335e-03,7.4531e-04,7.8806e-03
1.5849e-03,9.7888e-04,9.2926e-03
1.8836e-03,1.2839e-03,1.0945e-02
2.2387e-03,1.6815e-03,1.2876e-02
2.6607e-03,2.1982e-03,1.5124e-02
3.1623e-03,2.8677e-03,1.7734e-02
3.7584e-03,3.7322e-03,2.0753e-02
4.4668e-03,4.8438e-03,2.4230e-02
5.3088e-03,6.2666e-03,2.8214e-02
6.3096e-03,8.0777e-03,3.2753e-02
7.4989e-03,1.0369e-02,3.7889e-02
8.9125e-03,1.3246e-02,4.3653e-02
1.0593e-02,1.6831e-02,5.0064e-02
1.2589e-02,2.1256e-02,5.7120e-02
1.4962e-02,2.6663e-02,6.4793e-02
1.7783e-02,3.3194e-02,7.3025e-02
2.1135e-02,4.0987e-02,8.1724e-02
2.5119e-02,5.0159e-02,9.0761e-02
2.9854e-02,6.0803e-02,9.9979e-02
3.5481e-02,7.2970e-02,1.0919e-01
4.2170e-02,8.6664e-02,1.1820e-01
5.0119e-02,1.0184e-01,1.2679e-01
5.9566e-02,1.1840e-01,1.3480e-01
7.0795e-02,1.3620e-01,1.4204e-01
8.4140e-02,1.5507e-01,1.4840e-01
1.0000e-01,1.7482e-01,1.5380e-01
1.1885e-01,1.9523e-01,1.5820e-01
1.4125e-01,2.1611e-01,1.6160e-01
1.6788e-01,2.3729e-01,1.6404e-01
1.9953e-01,2.5859e-01,1.6558e-01
2.3714e-01,2.7989e-01,1.6630e-01
2.8184e-01,3.0107e-01,1.6629e-01
3.3497e-01,3.2204e-01,1.6564e-01
3.9811e-01,3.4274e-01,1.6444e-01
4.7315e-01,3.6311e-01,1.6277e-01
5.6234e-01,3.8313e-01,1.6070e-01
6.6834e-01,4.0276e-01,1.5831e-01
7.9433e-01,4.2199e-01,1.5564e-01
9.4406e-01,4.4079e-01,1.5276e-01
1.1220e+00,4.5917e-01,1.4969e-01
1.3335e+00,4.7712e-01,1.4647e-01
1.5849e+00,4.9463e-01,1.4314e-01
1.8836e+00,5.1169e-01,1.3971e-01
2.2387e+00,5.2831e-01,1.3622e-01
2.6607e+00,5.4449e-01,1.3267e-01
3.1623e+00,5.6021e-01,1.2910e-01
3.7584e+00,5.7548e-01,1.2550e-01
4.4668e+00,5.9030e-01,1.2190e-01
5.3088e+00,6.0468e-01,1.1831e-01
6.3096e+00,6.1860e-01,1.1474e-01
7.4989e+00,6.3209e-01,1.1120e-01
8.9125e+00,6.4513e-01,1.0771e-01
1.0593e+01,6.5774e-01,1.0426e-01
1.2589e+01,6.6992e-01,1.0087e-01
1.4962e+01,6.8168e-01,9.7550e-02
1.7783e+01,6.9304e-01,9.4303e-02
